"HC091","2024/25","1","2024-09-10 00:00:00","Inledning","","1","TALMANNEN","TALMANNEN","0585684563812","","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","1","Edward Riedl (M)","M","0273506284025","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","10","Jytte Guteland (S)","S","0229627943828","HC01MJU3","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","11","Helena Storckenfeldt (M)","M","0575283695521","HC01MJU3","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","12","Jytte Guteland (S)","S","0229627943828","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","13","Helena Storckenfeldt (M)","M","0575283695521","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","14","Jytte Guteland (S)","S","0229627943828","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","15","Helena Storckenfeldt (M)","M","0575283695521","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","16","Elin Söderberg (MP)","MP","0514669448526","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","17","Helena Storckenfeldt (M)","M","0575283695521","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","18","Elin Söderberg (MP)","MP","0514669448526","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","19","Helena Storckenfeldt (M)","M","0575283695521","HC01MJU3","Y"
